enc,objective,ssl_mode,is_stopgrad,is_ema,architecture_exact,architecture,family,patch_size,n_parameters,z_dim,z_layer,epochs,batch_size,optimizer,learning_rate,weight_decay,scheduler,pretraining_data,img_size,is_aug_invariant,year,is_official,is_industry,n_classes,pred_dim,projection_hid_width,projection_hid_depth,projection1_arch,projection2_arch,projection_same,projection_nparameters,n_negatives,finetuning_data,other,nviews,n_augmentations,is_aug_autoaug,is_aug_blur,is_aug_color,is_aug_crop,is_aug_erasing,is_aug_flip,is_aug_gray,is_aug_jigsaw,is_aug_masking,is_aug_normalize,is_aug_photometric,is_aug_rotate,is_aug_solarize,is_aug_anygeometric,is_aug_anycolor
mugs_vitb16_ep400,mugs,hierarchical,1,1,vitb16 cls,vitb,vit,16,90000000.0,512,cls,400.0,512,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,,256.0,2048.0,6.0,mlp,mlp,1.0,70000000.0,65536.0,,,2,10,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
mugs_vitb16_ep400_extractb,mugs,hierarchical,1,1,vitb16 cls+avg,vitb,vit,16,90000000.0,1024,cls+avg,400.0,512,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,,256.0,2048.0,6.0,mlp,mlp,1.0,70000000.0,65536.0,,,2,10,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
mugs_vitl16_ep250,mugs,hierarchical,1,1,vitl16 cls,vitl,vit,16,300000000.0,1024,cls,400.0,512,adamw,0.001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,,256.0,2048.0,6.0,mlp,mlp,1.0,70000000.0,65536.0,,,2,10,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
mugs_vits16_ep100,mugs,hierarchical,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,0.0,512,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,,256.0,2048.0,6.0,mlp,mlp,1.0,70000000.0,65536.0,,,2,10,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
mugs_vits16_ep300,mugs,hierarchical,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,400.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,,256.0,2048.0,6.0,mlp,mlp,1.0,70000000.0,65536.0,,,2,10,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
mugs_vits16_ep800,mugs,hierarchical,1,1,vits16 cls,vits,vit,16,20000000.0,256,cls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,,256.0,2048.0,6.0,mlp,mlp,1.0,70000000.0,65536.0,,,2,10,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
mugs_vits16_ep800_extracts,mugs,hierarchical,1,1,vits16 4xcls,vits,vit,16,20000000.0,1024,4xcls,800.0,1024,adamw,0.0001,0.01,cosine,ImageNet-1K,128,1,2022,1,1,,256.0,2048.0,6.0,mlp,mlp,1.0,70000000.0,65536.0,,,2,10,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
npid_rn50,npid,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,200.0,256,sgd,0.01,0.0001,multistep,ImageNet-1K,128,1,2018,0,0,,64.0,,,linear,linear,1.0,0.0,2048.0,,,2,4,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
npidpp_rn50,npid,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,1024,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2019,0,1,,64.0,,,linear,linear,1.0,0.0,16384.0,,,2,4,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
odc_rn50_440ep_mmselfsup,odc,clustering,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,400.0,512,sgd,0.01,1e-05,multistep,ImageNet-1K,128,1,2020,0,0,10000.0,256.0,512.0,1.0,mlp,,,0.0,,,,2,6,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1
pirl_rn50,pirl,contrastive,0,0,resnet50,resnet50,resnet,4,20000000.0,2048,avgpool,800.0,1024,sgd,0.01,0.0001,cosine,ImageNet-1K,128,1,2019,1,1,,64.0,,,linear,linear,1.0,0.0,16384.0,,,2,7,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1
